id,model,patrimony,description,created,modified,assetType_id,equipment_id,manufacturer_id,criticalness_id
88,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº5,,SENSOR - Sensor capacitivo do nivel do 4º terno de moenda sensor nº5 - MOENDA,2017-01-01 00:00:00.000087,2017-01-01 00:00:00.000087,19,160,1,1
89,TERMORESISTENCIA TIPO PT100 - TEMP1-PIC Mancal encosto turbina LOA,,TERMORESISTENCIA TIPO PT100 - TEMP1-PIC Mancal encosto turbina LOA - MOENDA,2017-01-01 00:00:00.000088,2017-01-01 00:00:00.000088,35,145,1,1
90,TERMORESISTENCIA TIPO PT100 - TEMP2-PIC Mancal liso turbina LOA,,TERMORESISTENCIA TIPO PT100 - TEMP2-PIC Mancal liso turbina LOA - MOENDA,2017-01-01 00:00:00.000089,2017-01-01 00:00:00.000089,35,145,1,1
91,TERMORESISTENCIA TIPO PT100 - TEMP3-PIC Mancal entrada redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP3-PIC Mancal entrada redutor LA - MOENDA,2017-01-01 00:00:00.000090,2017-01-01 00:00:00.000090,35,145,1,1
92,TERMORESISTENCIA TIPO PT100 - TEMP4-PIC Mancal entrada redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP4-PIC Mancal entrada redutor LOA - MOENDA,2017-01-01 00:00:00.000091,2017-01-01 00:00:00.000091,35,145,1,1
93,TERMORESISTENCIA TIPO PT100 - TEMP5-PIC Mancal saída redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP5-PIC Mancal saída redutor LOA - MOENDA,2017-01-01 00:00:00.000092,2017-01-01 00:00:00.000092,35,145,1,1
94,TERMORESISTENCIA TIPO PT100 - TEMP6-PIC Mancal saída redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP6-PIC Mancal saída redutor LA - MOENDA,2017-01-01 00:00:00.000093,2017-01-01 00:00:00.000093,35,145,1,1
95,TERMORESISTENCIA TIPO PT100 - TEMP7-PIC Mancal picador LA,,TERMORESISTENCIA TIPO PT100 - TEMP7-PIC Mancal picador LA - MOENDA,2017-01-01 00:00:00.000094,2017-01-01 00:00:00.000094,35,145,1,1
96,TERMORESISTENCIA TIPO PT100 - TEMP8-PIC Mancal picador LOA,,TERMORESISTENCIA TIPO PT100 - TEMP8-PIC Mancal picador LOA - MOENDA,2017-01-01 00:00:00.000095,2017-01-01 00:00:00.000095,35,145,1,1
97,TERMORESISTENCIA TIPO PT100 - TEMP1-DES Mancal encosto turbina LOA,,TERMORESISTENCIA TIPO PT100 - TEMP1-DES Mancal encosto turbina LOA - MOENDA,2017-01-01 00:00:00.000096,2017-01-01 00:00:00.000096,35,146,1,1
98,TERMORESISTENCIA TIPO PT100 - TEMP2-DES Mancal liso turbina LOA,,TERMORESISTENCIA TIPO PT100 - TEMP2-DES Mancal liso turbina LOA - MOENDA,2017-01-01 00:00:00.000097,2017-01-01 00:00:00.000097,35,146,1,1
99,TERMORESISTENCIA TIPO PT100 - TEMP3-DES Mancal entrada redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP3-DES Mancal entrada redutor LA - MOENDA,2017-01-01 00:00:00.000098,2017-01-01 00:00:00.000098,35,146,1,1
100,TERMORESISTENCIA TIPO PT100 - TEMP4-DES Mancal entrada redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP4-DES Mancal entrada redutor LOA - MOENDA,2017-01-01 00:00:00.000099,2017-01-01 00:00:00.000099,35,146,1,1
101,TERMORESISTENCIA TIPO PT100 - TEMP5-DES Mancal saída redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP5-DES Mancal saída redutor LOA - MOENDA,2017-01-01 00:00:00.000100,2017-01-01 00:00:00.000100,35,146,1,1
102,TERMORESISTENCIA TIPO PT100 - TEMP6-DES Mancal saída redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP6-DES Mancal saída redutor LA - MOENDA,2017-01-01 00:00:00.000101,2017-01-01 00:00:00.000101,35,146,1,1
103,TERMORESISTENCIA TIPO PT100 - TEMP7-DES Mancal desfibrador LA,,TERMORESISTENCIA TIPO PT100 - TEMP7-DES Mancal desfibrador LA - MOENDA,2017-01-01 00:00:00.000102,2017-01-01 00:00:00.000102,35,146,1,1
104,TERMORESISTENCIA TIPO PT100 - TEMP8-DES Mancal desfibrador LOA,,TERMORESISTENCIA TIPO PT100 - TEMP8-DES Mancal desfibrador LOA - MOENDA,2017-01-01 00:00:00.000103,2017-01-01 00:00:00.000103,35,146,1,1
105,TERMORESISTENCIA TIPO PT100 - TEMP1-TER1 Mancal encosto turbina LOA,,TERMORESISTENCIA TIPO PT100 - TEMP1-TER1 Mancal encosto turbina LOA - MOENDA,2017-01-01 00:00:00.000104,2017-01-01 00:00:00.000104,35,150,1,1
106,TERMORESISTENCIA TIPO PT100 - TEMP2-TER1 Mancal liso turbina LA,,TERMORESISTENCIA TIPO PT100 - TEMP2-TER1 Mancal liso turbina LA - MOENDA,2017-01-01 00:00:00.000105,2017-01-01 00:00:00.000105,35,150,1,1
107,TERMORESISTENCIA TIPO PT100 - TEMP3-TER1 Mancal entrada redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP3-TER1 Mancal entrada redutor LA - MOENDA,2017-01-01 00:00:00.000106,2017-01-01 00:00:00.000106,35,150,1,1
108,TERMORESISTENCIA TIPO PT100 - TEMP4-TER1 Mancal entrada redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP4-TER1 Mancal entrada redutor LOA - MOENDA,2017-01-01 00:00:00.000107,2017-01-01 00:00:00.000107,35,150,1,1
109,TERMORESISTENCIA TIPO PT100 - TEMP5-TER1 Mancal intermediário redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP5-TER1 Mancal intermediário redutor LA - MOENDA,2017-01-01 00:00:00.000108,2017-01-01 00:00:00.000108,35,150,1,1
110,TERMORESISTENCIA TIPO PT100 - TEMP6-TER1 Mancal intermediário redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP6-TER1 Mancal intermediário redutor LOA - MOENDA,2017-01-01 00:00:00.000109,2017-01-01 00:00:00.000109,35,150,1,1
111,TERMORESISTENCIA TIPO PT100 - TEMP7-TER1 Mancal saída redutor LOA,,TERMORESISTENCIA TIPO PT100 - TEMP7-TER1 Mancal saída redutor LOA - MOENDA,2017-01-01 00:00:00.000110,2017-01-01 00:00:00.000110,35,150,1,1
112,TERMORESISTENCIA TIPO PT100 - TEMP8-TER1 Mancal saída redutor LA,,TERMORESISTENCIA TIPO PT100 - TEMP8-TER1 Mancal saída redutor LA - MOENDA,2017-01-01 00:00:00.000111,2017-01-01 00:00:00.000111,35,150,1,1
113,TERMORESISTENCIA TIPO PT100 - TEMP9-TER1 Mancal patente pinhão intermediário LA,,TERMORESISTENCIA TIPO PT100 - TEMP9-TER1 Mancal patente pinhão intermediário LA - MOENDA,2017-01-01 00:00:00.000112,2017-01-01 00:00:00.000112,35,150,1,1
114,TERMORESISTENCIA TIPO PT100 - TEMP10-TER1 Mancal patente pinhão intermediário LOA,,TERMORESISTENCIA TIPO PT100 - TEMP10-TER1 Mancal patente pinhão intermediário LOA - MOENDA,2017-01-01 00:00:00.000113,2017-01-01 00:00:00.000113,35,150,1,1
115,TERMORESISTENCIA TIPO PT100 - TEMP11-TER1 Mancal bronze intermediário LA,,TERMORESISTENCIA TIPO PT100 - TEMP11-TER1 Mancal bronze intermediário LA - MOENDA,2017-01-01 00:00:00.000114,2017-01-01 00:00:00.000114,35,150,1,1
116,TERMORESISTENCIA TIPO PT100 - TEMP12-TER1 Mancal bronze intermediário LOA,,TERMORESISTENCIA TIPO PT100 - TEMP12-TER1 Mancal bronze intermediário LOA - MOENDA,2017-01-01 00:00:00.000115,2017-01-01 00:00:00.000115,35,150,1,1
